city,persona,card,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,weather_code,wind_speed_10m,soil_moisture_0_to_7cm,us_aqi,european_aqi,uv_index,pm2_5,pm10,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,ozone,is_daylight,relevance_score,hour,day_of_week,month
Delhi,fitness,aqi,28.2,91,35.6,0.0,0.0,3,2.4,0.259,157,92,0.0,89.2,98.0,77.8,47.7,1014.0,19.0,False,0.784,0,1,8
Bhopal,farmer,aqi,24.2,94,28.1,0.3,0.3,51,11.8,0.412,85,62,0.0,30.5,38.5,10.5,5.0,282.0,54.0,False,0.25,0,1,8
Bhopal,fitness,weather_condition,24.2,94,28.1,0.3,0.3,51,11.8,0.412,85,62,0.0,30.5,38.5,10.5,5.0,282.0,54.0,False,0.85,0,1,8
Bhopal,fitness,soil_moisture,24.2,94,28.1,0.3,0.3,51,11.8,0.412,85,62,0.0,30.5,38.5,10.5,5.0,282.0,54.0,False,0.0734,0,1,8
Bhopal,fitness,wind,24.2,94,28.1,0.3,0.3,51,11.8,0.412,85,62,0.0,30.5,38.5,10.5,5.0,282.0,54.0,False,0.5413,0,1,8
Bhopal,fitness,rain,24.2,94,28.1,0.3,0.3,51,11.8,0.412,85,62,0.0,30.5,38.5,10.5,5.0,282.0,54.0,False,0.444,0,1,8
Bhopal,fitness,humidity,24.2,94,28.1,0.3,0.3,51,11.8,0.412,85,62,0.0,30.5,38.5,10.5,5.0,282.0,54.0,False,0.81,0,1,8
Bhopal,fitness,temperature,24.2,94,28.1,0.3,0.3,51,11.8,0.412,85,62,0.0,30.5,38.5,10.5,5.0,282.0,54.0,False,0.51,0,1,8
Bhopal,fitness,uv,24.2,94,28.1,0.3,0.3,51,11.8,0.412,85,62,0.0,30.5,38.5,10.5,5.0,282.0,54.0,False,0.54,0,1,8
Bhopal,fitness,aqi,24.2,94,28.1,0.3,0.3,51,11.8,0.412,85,62,0.0,30.5,38.5,10.5,5.0,282.0,54.0,False,0.64,0,1,8
Mumbai,fitness,uv,26.4,88,31.1,0.5,0.5,53,9.9,0.278,65,40,0.0,17.5,46.8,5.3,3.9,165.0,39.0,False,0.54,0,1,8
Nagpur,traveler,weather_condition,25.0,94,29.7,0.2,0.2,51,9.3,0.433,74,48,0.0,29.3,38.0,12.6,8.4,257.0,50.0,False,1.0,0,1,8
Nagpur,traveler,soil_moisture,25.0,94,29.7,0.2,0.2,51,9.3,0.433,74,48,0.0,29.3,38.0,12.6,8.4,257.0,50.0,False,0.0374,0,1,8
Nagpur,traveler,wind,25.0,94,29.7,0.2,0.2,51,9.3,0.433,74,48,0.0,29.3,38.0,12.6,8.4,257.0,50.0,False,0.5647,0,1,8
Nagpur,traveler,rain,25.0,94,29.7,0.2,0.2,51,9.3,0.433,74,48,0.0,29.3,38.0,12.6,8.4,257.0,50.0,False,0.586,0,1,8
Nagpur,traveler,humidity,25.0,94,29.7,0.2,0.2,51,9.3,0.433,74,48,0.0,29.3,38.0,12.6,8.4,257.0,50.0,False,0.78,0,1,8
Nagpur,traveler,temperature,25.0,94,29.7,0.2,0.2,51,9.3,0.433,74,48,0.0,29.3,38.0,12.6,8.4,257.0,50.0,False,0.54,0,1,8
