temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,weather_code,wind_speed_10m,soil_moisture_0_to_7cm,timestamp,european_aqi,us_aqi,uv_index,pm2_5,pm10,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,ozone,sunrise,sunset,is_daylight,city
28.2,91,35.6,0.0,0.0,3,2.4,0.259,2026-08-25 00:00:00,92,157,0.0,89.2,98.0,77.8,47.7,1014.0,19.0,2026-08-25 05:55:00,2026-08-25 18:50:00,False,Delhi
28.0,92,35.4,0.0,0.0,3,1.9,0.259,2026-08-25 01:00:00,93,157,0.0,89.4,99.2,75.2,46.4,859.0,22.0,2026-08-25 05:55:00,2026-08-25 18:50:00,False,Delhi
27.9,92,35.1,0.0,0.0,3,2.9,0.259,2026-08-25 02:00:00,93,158,0.0,78.9,87.1,70.4,44.3,766.0,26.0,2026-08-25 05:55:00,2026-08-25 18:50:00,False,Delhi
27.8,92,35.1,0.0,0.0,3,2.1,0.259,2026-08-25 03:00:00,93,158,0.0,66.1,74.3,62.7,40.7,710.0,30.0,2026-08-25 05:55:00,2026-08-25 18:50:00,False,Delhi
27.6,93,35.0,0.0,0.0,3,1.9,0.259,2026-08-25 04:00:00,93,157,0.0,46.3,52.6,52.9,36.2,717.0,36.0,2026-08-25 05:55:00,2026-08-25 18:50:00,False,Delhi
26.2,97,33.1,0.0,0.0,3,2.1,0.251,2026-08-25 05:00:00,91,156,0.0,61.5,74.5,37.1,31.3,775.0,53.0,2026-08-25 05:55:00,2026-08-25 18:50:00,False,Delhi
26.5,97,33.6,1.2,1.2,55,1.6,0.267,2026-08-25 06:00:00,91,156,0.05,64.5,76.8,39.8,34.7,929.0,54.0,2026-08-25 05:55:00,2026-08-25 18:50:00,True,Delhi
26.6,97,33.3,0.9,0.9,53,4.5,0.279,2026-08-25 07:00:00,91,156,0.3,65.2,79.9,43.3,39.5,1136.0,57.0,2026-08-25 05:55:00,2026-08-25 18:50:00,True,Delhi
27.2,93,34.1,0.5,0.5,53,3.3,0.285,2026-08-25 08:00:00,91,156,1.35,67.1,84.1,43.5,43.5,1254.0,74.0,2026-08-25 05:55:00,2026-08-25 18:50:00,True,Delhi
28.5,88,35.9,0.1,0.1,51,1.6,0.285,2026-08-25 09:00:00,91,156,2.45,62.6,84.8,37.5,46.4,1203.0,115.0,2026-08-25 05:55:00,2026-08-25 18:50:00,True,Delhi
